a52dec 0.7.4-11
libnsl 2.0.0-2
libnumbertext 1.0.10-1
libodfgen 0.1.8-1
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libopenmpt 0.6.6-2
liborcus 0.17.2-3
libp11-kit 0.24.1-1
libpagemaker 0.0.4-3
libpaper 1.1.28-2
libpcap 1.10.1-2
libpciaccess 0.17-1
libpgm 5.3.128-2
libpipeline 1.5.6-1
libplacebo 4.208.0-1
libplist 2.2.0-5
libpng 1.6.38-1
libproxy 0.4.18-1
libpsl 0.21.1-1
libpulse 16.1-1
libpwquality 1.4.4-5
libqtxdg 3.9.1-4
libqxp 0.0.2-9
libraqm 0.9.0-1
libraw 0.20.2-2
libraw1394 2.1.2-3
libreoffice-fresh 7.4.2-2
librevenge 0.0.4-4
librsvg 2:2.55.1-1
librsync 1:2.3.2-1
librttopo 1.1.0-5
libsamplerate 0.2.2-1
libsasl 2.1.28-1
libsbsms 2.3.0-3
libseccomp 2.5.4-1
libsecret 0.20.5-2
libshout 1:2.4.6-1
libsidplayfp 2.3.1-1
libsigc++ 2.10.8-1
libsigsegv 2.14-1
libsm 1.2.3-3
libsndfile 1.1.0-3
libsodium 1.0.18-2
libsoup 2.74.3-1
libsoup3 3.2.1-1
libsoxr 0.1.3-2
libspatialite 5.0.1-3
libspnav 1.0-1
libssh 0.10.4-1
libssh2 1.10.0-1
libstaroffice 0.0.7-2
libstemmer 2.2.0-2
libsynctex 2022.62885-2
libsysprof-capture 3.44.0-2
libtar 1.2.20-6
libtasn1 4.19.0-1
libteam 1.31-5
libtermkey 0.22-2
libthai 0.1.29-1
libtheora 1.1.1-5
libtiff 4.4.0-4
libtirpc 1.3.3-1
libtommath 1.2.0-3
libtool 2.4.7-5
libtpms 0.9.5-1
libudev0-shim 1-4
libunistring 1.0-1
libunwind 1.6.2-1
libupnp 1.14.14-1
liburcu 0.13.2-1
liburing 2.2-1
libusb 1.0.26-1
libusb-compat 0.1.7-1
libusbmuxd 2.0.2-1
libutempter 1.2.1-3
libuv 1.44.2-1
libva 2.16.0-1
libvdpau 1.5-1
libverto 0.3.2-4
libvisio 0.1.7-8
libvisual 0.4.0-8
libvorbis 1.3.7-3
libvpx 1.12.0-1
libvterm 0.3-1
libvterm01 0.1.4-2
libwacom 2.5.0-1
libwebp 1.2.4-1
libwpd 0.10.3-3
libwpe 1.14.0-1
libwpg 0.3.3-3
libwps 0.4.12-1
libx11 1.8.1-3
libxau 1.0.10-1
libxaw 1.0.14-1
libxcb 1.15-1
libxcomposite 0.4.5-4
libxcrypt 4.4.28-2
libxcursor 1.2.1-1
libxcvt 0.1.2-1
libxdamage 1.1.5-4
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-4
libxext 1.3.4-4
libxfce4ui 4.16.1-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.6-1
libxft 2.3.6-1
libxi 1.8-1
libxinerama 1.1.4-4
libxkbcommon 1.4.1-1
libxkbcommon-x11 1.4.1-1
libxkbfile 1.1.1-1
libxklavier 5.4-3
libxml2 2.10.3-2
libxmu 1.1.4-1
libxpm 3.5.13-3
libxrandr 1.5.2-4
libxrender 0.9.11-1
libxshmfence 1.3.1-1
libxslt 1.1.37-2
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.4-1
libxv 1.0.11-5
libxxf86vm 1.1.5-1
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
libzen 0.4.39-1
libzip 1.9.2-1
libzmf 0.0.2-13
licenses 20220125-1
lightdm 1:1.32.0-4
lightdm-webkit-theme-aether 2.2.2-1
lightdm-webkit2-greeter 2.2.5-6
lilv 0.24.20-1
linux 6.0.2.arch1-1
linux-api-headers 5.18.15-1
linux-firmware 20220913.f09bebf-1
linux-firmware-whence 20220913.f09bebf-1
lirc 1:0.10.2-1
llvm-libs 14.0.6-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
log4cplus 2.0.8-1
lpsolve 5.5.2.11-1
lsd 0.23.1-1
lshw B.02.19.2-5
lsof 4.96.3-1
ltrace 0.7.3-4
lua 5.4.4-2
lua52 5.2.4-5
lua53 5.3.6-1
lua53-lgi 0.9.2-7
luajit 2.1.0.beta3.r449.gdad04f17-1
luit 20220111-1
lv2 1.18.10-1
lvm2 2.03.16-2
lynx 2.8.9-5
lz4 1:1.9.4-1
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.11.0-1
mariadb 10.9.3-1
mariadb-clients 10.9.3-1
mariadb-libs 10.9.3-1
md2pdf v0.0.5.r0.g622d780-1
md4c 0.4.8-1
mdadm 4.2-2
mdcat 0.29.0-1
mesa 22.2.1-1
metis 5.1.0.p10-2
microsoft-edge-stable-bin 106.0.1370.42-1
minecraft-launcher 1:1.0.1221-1
minizip 1:1.2.13-1
mkinitcpio 32-1
mkinitcpio-busybox 1.35.0-1
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20220725-1
mpd 0.23.10-2
mpd-notification-git 0.8.6.r2.ga4d100c-1
mpdecimal 2.5.1-1
mpfr 4.1.0.p13-3
mpg123 1.30.2-1
msgpack-c 4.0.0-1
mtdev 1.1.6-2
mtools 1:4.0.42-1
nano 6.4-1
ncdu 2.1.2-1
ncurses 6.3-3
ndctl 74-1
neofetch 7.1.0-2
neon 0.32.4-1
neovim 0.8.0-3
nerd-fonts-dejavu-complete 2.2.2-1
nerd-fonts-fira-code 2.2.2-1
net-tools 2.10-1
netcdf 4.9.0-3
netpbm 10.73.37-2
nettle 3.8.1-1
networkmanager 1.40.2-1
newsboat 2.29-1
ninja 1.11.1-1
nmap 7.92-1
node-gyp 9.3.0-1
nodejs 19.0.0-2
nodejs-nopt 6.0.0-1
noto-fonts 20220810-1
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20220920-1
npm 8.19.2-1
npth 1.6-3
nspr 4.35-1
nss 3.84-1
ntfs-3g 2022.5.17-1
numactl 2.0.16-1
obsidian 1.0.0-1
ocaml 4.14.0-1
ocaml-compiler-libs 4.14.0-1
ocl-icd 2.3.1-1
octave 7.2.0-4
octave-audio 2.0.5-1
onefetch 2.13.1-1
oniguruma 6.9.8-1
opam 2.1.3-1
openal 1.22.2-1
openbox 3.6.1-8
opencollada 1:1.6.68-2
opencolorio 2.1.2-1
opencore-amr 0.1.6-1
opencv 4.6.0-5
openexr 3.1.5-1
openimagedenoise 1.4.3-1
openimageio 2.3.19.0-4
openjpeg2 2.5.0-1
openmpi 4.1.4-4
openpmix 4.2.1-1
openshadinglanguage 1.12.6.2-2
openssh 9.1p1-1
openssl 1.1.1.q-1
opensubdiv 3.5.0-1
openvdb 9.1.0-2
openvpn 2.5.7-1
openxr 1.0.25-1
opus 1.3.1-3
orc 0.4.32-2
os-prober 1.81-1
p11-kit 0.24.1-1
p8-platform 2.1.0.1-4
